Desa,Klasifikasi.Desa,Jumlah Penduduk,Puskesmas,Jarak,BTS,Ketinggian,Pasar,Jumlah Usaha,Topologi
Sibalaya Selatan,C,655,tidak ada,17,1,87,tidak ada,13,dataran
Sibalaya Utara,C,1844,ada,17,1,76,ada,22,dataran
Sibedi,B,1345,tidak ada,18,2,39,tidak ada,12,dataran
Sibono,B,475,tidak ada,7,0,44,tidak ada,15,dataran
Sibowi,C,3215,tidak ada,17,3,62,tidak ada,21,dataran
Sidera,C,2494,tidak ada,14,1,87,tidak ada,36,dataran
Sidondo I  ,C,3217,tidak ada,14,1,56,ada,43,dataran
Sidondo II,C,849,tidak ada,14,1,58,tidak ada,20,dataran
Sidondo III,C,1270,tidak ada,14,1,39,tidak ada,19,dataran
Sidondo IV,C,957,tidak ada,14,1,57,tidak ada,22,dataran
Sigimpu,B,779,tidak ada,25,1,598,tidak ada,2,pegunungan
Simoro,C,909,tidak ada,32,0,148,tidak ada,40,dataran
Sintuwu,A,1656,tidak ada,25,1,560,tidak ada,20,dataran
Siwongi,B,645,tidak ada,62,0,418,tidak ada,2,pegunungan
Soi,A,746,tidak ada,33,0,1000,tidak ada,8,pegunungan
Sopu,B,879,tidak ada,35,0,614,tidak ada,31,dataran
Soulowe,B,1397,tidak ada,7,0,82,tidak ada,35,dataran
Soulowe,B,1012,tidak ada,14,1,104,tidak ada,19,dataran
Sungku,B,1337,tidak ada,62,1,750,tidak ada,6,pegunungan
Sunju,B,1371,tidak ada,18,0,21,tidak ada,27,dataran
Taipanggabe,A,225,tidak ada,33,0,820,tidak ada,1,pegunungan
Tanah Harapan,A,796,tidak ada,25,1,586,tidak ada,18,dataran
Tangkulowi,C,307,tidak ada,62,0,546,tidak ada,0,pegunungan
Tinggede ,C,6678,ada,18,4,24,tidak ada,95,dataran
Tinggide Selatan,B,1591,tidak ada,18,2,23,tidak ada,22,dataran
Tomado,C,1602,ada,89,0,995,tidak ada,20,pegunungan
Tompi Bugis,B,561,tidak ada,96,0,419,tidak ada,13,pegunungan
Tomua,B,941,tidak ada,96,0,457,tidak ada,21,pegunungan
Tongoa,A,2624,tidak ada,25,1,652,tidak ada,31,dataran
Toro,C,2181,tidak ada,62,0,796,tidak ada,28,pegunungan
Towulu,B,1383,ada,62,0,576,tidak ada,0,pegunungan
Tulo,C,3861,tidak ada,7,3,47,tidak ada,66,dataran
Tuva,C,1826,tidak ada,32,1,229,tidak ada,382,dataran
Tuwo Tani Jaya,B,198,tidak ada,123,0,501,tidak ada,1,pegunungan
Ue Rani,A,806,tidak ada,25,1,559,tidak ada,8,dataran
Uenuni,A,2885,ada,25,1,635,ada,6,dataran
Uwemanje,A,1245,tidak ada,20,0,337,tidak ada,18,perbukitan
Walatana,C,1559,tidak ada,13,0,112,tidak ada,26,dataran
Wangka,B,479,tidak ada,96,0,481,tidak ada,8,pegunungan
Watubula,B,1049,tidak ada,7,0,80,tidak ada,48,dataran
Watukilo,B,808,tidak ada,96,0,441,tidak ada,13,dataran
Watunonju,C,1503,tidak ada,14,1,154,tidak ada,23,dataran
Waturalele,B,1065,tidak ada,7,0,66,tidak ada,27,pegunungan
Wawujai,A,701,tidak ada,33,0,900,tidak ada,5,pegunungan
Wayu,A,379,tidak ada,33,0,800,tidak ada,22,pegunungan
Wiapore,A,350,tidak ada,33,0,950,tidak ada,2,pegunungan
Winatu,B,812,tidak ada,62,0,871,tidak ada,0,pegunungan
Wisolo,B,1298,tidak ada,13,0,87,ada,21,pegunungan
Wugaga,A,855,tidak ada,33,0,900,ada,8,pegunungan
